alpha,chi2
9.145145e-01,8.650466e+01
9.149149e-01,8.644750e+01
9.153153e-01,8.639073e+01
9.157157e-01,8.633435e+01
9.161161e-01,8.627838e+01
9.165165e-01,8.622280e+01
9.169169e-01,8.616762e+01
9.173173e-01,8.611284e+01
9.177177e-01,8.605847e+01
9.181181e-01,8.600450e+01
9.185185e-01,8.595094e+01
9.189189e-01,8.589780e+01
9.193193e-01,8.584506e+01
9.197197e-01,8.579274e+01
9.201201e-01,8.574083e+01
9.205205e-01,8.568934e+01
9.209209e-01,8.563826e+01
9.213213e-01,8.558761e+01
9.217217e-01,8.553738e+01
9.221221e-01,8.548757e+01
9.225225e-01,8.543818e+01
9.229229e-01,8.538922e+01
9.233233e-01,8.534068e+01
9.237237e-01,8.529257e+01
9.241241e-01,8.524489e+01
9.245245e-01,8.519763e+01
9.249249e-01,8.515080e+01
9.253253e-01,8.510441e+01
9.257257e-01,8.505844e+01
9.261261e-01,8.501291e+01
9.265265e-01,8.496780e+01
9.269269e-01,8.492314e+01
9.273273e-01,8.487890e+01
9.277277e-01,8.483511e+01
9.281281e-01,8.479175e+01
9.285285e-01,8.474882e+01
9.289289e-01,8.470634e+01
9.293293e-01,8.466429e+01
9.297297e-01,8.462268e+01
9.301301e-01,8.458151e+01
9.305305e-01,8.454079e+01
9.309309e-01,8.450050e+01
9.313313e-01,8.446066e+01
9.317317e-01,8.442125e+01
9.321321e-01,8.438229e+01
9.325325e-01,8.434377e+01
9.329329e-01,8.430568e+01
9.333333e-01,8.426804e+01
9.337337e-01,8.423084e+01
9.341341e-01,8.419408e+01
9.345345e-01,8.415775e+01
9.349349e-01,8.412187e+01
9.353353e-01,8.408643e+01
9.357357e-01,8.405143e+01
9.361361e-01,8.401686e+01
9.365365e-01,8.398273e+01
9.369369e-01,8.394905e+01
9.373373e-01,8.391580e+01
9.377377e-01,8.388299e+01
9.381381e-01,8.385061e+01
9.385385e-01,8.381868e+01
9.389389e-01,8.378718e+01
9.393393e-01,8.375611e+01
9.397397e-01,8.372549e+01
9.401401e-01,8.369530e+01
9.405405e-01,8.366555e+01
9.409409e-01,8.363624e+01
9.413413e-01,8.360736e+01
9.417417e-01,8.357892e+01
9.421421e-01,8.355092e+01
9.425425e-01,8.352335e+01
9.429429e-01,8.349622e+01
9.433433e-01,8.346953e+01
9.437437e-01,8.344327e+01
9.441441e-01,8.341745e+01
9.445445e-01,8.339206e+01
9.449449e-01,8.336710e+01
9.453453e-01,8.334258e+01
9.457457e-01,8.331850e+01
9.461461e-01,8.329484e+01
9.465465e-01,8.327162e+01
9.469469e-01,8.324883e+01
9.473473e-01,8.322647e+01
9.477477e-01,8.320455e+01
9.481481e-01,8.318305e+01
9.485485e-01,8.316198e+01
9.489489e-01,8.314135e+01
9.493493e-01,8.312114e+01
9.497497e-01,8.310136e+01
9.501502e-01,8.308200e+01
9.505506e-01,8.306307e+01
9.509510e-01,8.304457e+01
9.513514e-01,8.302650e+01
9.517518e-01,8.300884e+01
9.521522e-01,8.299161e+01
9.525526e-01,8.297481e+01
9.529530e-01,8.295843e+01
9.533534e-01,8.294246e+01
9.537538e-01,8.292692e+01
9.541542e-01,8.291180e+01
9.545546e-01,8.289710e+01
9.549550e-01,8.288282e+01
9.553554e-01,8.286896e+01
9.557558e-01,8.285551e+01
9.561562e-01,8.284248e+01
9.565566e-01,8.282987e+01
9.569570e-01,8.281767e+01
9.573574e-01,8.280588e+01
9.577578e-01,8.279451e+01
9.581582e-01,8.278355e+01
9.585586e-01,8.277299e+01
9.589590e-01,8.276285e+01
9.593594e-01,8.275311e+01
9.597598e-01,8.274377e+01
9.601602e-01,8.273485e+01
9.605606e-01,8.272632e+01
9.609610e-01,8.271820e+01
9.613614e-01,8.271048e+01
9.617618e-01,8.270316e+01
9.621622e-01,8.269623e+01
9.625626e-01,8.268971e+01
9.629630e-01,8.268358e+01
9.633634e-01,8.267785e+01
9.637638e-01,8.267251e+01
9.641642e-01,8.266756e+01
9.645646e-01,8.266300e+01
9.649650e-01,8.265883e+01
9.653654e-01,8.265505e+01
9.657658e-01,8.265165e+01
9.661662e-01,8.264864e+01
9.665666e-01,8.264602e+01
9.669670e-01,8.264377e+01
9.673674e-01,8.264191e+01
9.677678e-01,8.264042e+01
9.681682e-01,8.263931e+01
9.685686e-01,8.263857e+01
9.689690e-01,8.263821e+01
9.693694e-01,8.263822e+01
9.697698e-01,8.263860e+01
9.701702e-01,8.263935e+01
9.705706e-01,8.264046e+01
9.709710e-01,8.264194e+01
9.713714e-01,8.264378e+01
9.717718e-01,8.264599e+01
9.721722e-01,8.264855e+01
9.725726e-01,8.265147e+01
9.729730e-01,8.265475e+01
9.733734e-01,8.265838e+01
9.737738e-01,8.266237e+01
9.741742e-01,8.266671e+01
9.745746e-01,8.267139e+01
9.749750e-01,8.267643e+01
9.753754e-01,8.268181e+01
9.757758e-01,8.268754e+01
9.761762e-01,8.269361e+01
9.765766e-01,8.270002e+01
9.769770e-01,8.270677e+01
9.773774e-01,8.271386e+01
9.777778e-01,8.272128e+01
9.781782e-01,8.272904e+01
9.785786e-01,8.273714e+01
9.789790e-01,8.274557e+01
9.793794e-01,8.275432e+01
9.797798e-01,8.276341e+01
9.801802e-01,8.277282e+01
9.805806e-01,8.278256e+01
9.809810e-01,8.279261e+01
9.813814e-01,8.280299e+01
9.817818e-01,8.281369e+01
9.821822e-01,8.282470e+01
9.825826e-01,8.283603e+01
9.829830e-01,8.284767e+01
9.833834e-01,8.285962e+01
9.837838e-01,8.287188e+01
9.841842e-01,8.288444e+01
9.845846e-01,8.289731e+01
9.849850e-01,8.291048e+01
9.853854e-01,8.292395e+01
9.857858e-01,8.293772e+01
9.861862e-01,8.295178e+01
9.865866e-01,8.296614e+01
9.869870e-01,8.298079e+01
9.873874e-01,8.299573e+01
9.877878e-01,8.301096e+01
9.881882e-01,8.302648e+01
9.885886e-01,8.304228e+01
9.889890e-01,8.305836e+01
9.893894e-01,8.307472e+01
9.897898e-01,8.309136e+01
9.901902e-01,8.310828e+01
9.905906e-01,8.312547e+01
9.909910e-01,8.314294e+01
9.913914e-01,8.316067e+01
9.917918e-01,8.317868e+01
9.921922e-01,8.319695e+01
9.925926e-01,8.321548e+01
9.929930e-01,8.323428e+01
9.933934e-01,8.325335e+01
9.937938e-01,8.327267e+01
9.941942e-01,8.329224e+01
9.945946e-01,8.331208e+01
9.949950e-01,8.333217e+01
9.953954e-01,8.335251e+01
9.957958e-01,8.337310e+01
9.961962e-01,8.339393e+01
9.965966e-01,8.341502e+01
9.969970e-01,8.343635e+01
9.973974e-01,8.345792e+01
9.977978e-01,8.347973e+01
9.981982e-01,8.350178e+01
9.985986e-01,8.352407e+01
9.989990e-01,8.354659e+01
9.993994e-01,8.356935e+01
9.997998e-01,8.359233e+01
1.000200e+00,8.361555e+01
1.000601e+00,8.363900e+01
1.001001e+00,8.366267e+01
1.001401e+00,8.368657e+01
1.001802e+00,8.371069e+01
1.002202e+00,8.373504e+01
1.002603e+00,8.375960e+01
1.003003e+00,8.378439e+01
1.003403e+00,8.380939e+01
1.003804e+00,8.383461e+01
1.004204e+00,8.386005e+01
1.004605e+00,8.388570e+01
1.005005e+00,8.391157e+01
1.005405e+00,8.393765e+01
1.005806e+00,8.396393e+01
1.006206e+00,8.399043e+01
1.006607e+00,8.401714e+01
1.007007e+00,8.404405e+01
1.007407e+00,8.407117e+01
1.007808e+00,8.409850e+01
1.008208e+00,8.412602e+01
1.008609e+00,8.415375e+01
1.009009e+00,8.418168e+01
1.009409e+00,8.420980e+01
1.009810e+00,8.423813e+01
1.010210e+00,8.426665e+01
1.010611e+00,8.429536e+01
1.011011e+00,8.432427e+01
1.011411e+00,8.435336e+01
1.011812e+00,8.438265e+01
1.012212e+00,8.441213e+01
1.012613e+00,8.444180e+01
1.013013e+00,8.447165e+01
1.013413e+00,8.450168e+01
1.013814e+00,8.453190e+01
1.014214e+00,8.456230e+01
1.014615e+00,8.459289e+01
1.015015e+00,8.462365e+01
1.015415e+00,8.465458e+01
1.015816e+00,8.468570e+01
1.016216e+00,8.471698e+01
1.016617e+00,8.474844e+01
1.017017e+00,8.478007e+01
1.017417e+00,8.481187e+01
1.017818e+00,8.484383e+01
1.018218e+00,8.487597e+01
1.018619e+00,8.490826e+01
1.019019e+00,8.494072e+01
1.019419e+00,8.497334e+01
1.019820e+00,8.500611e+01
1.020220e+00,8.503905e+01
1.020621e+00,8.507214e+01
1.021021e+00,8.510538e+01
1.021421e+00,8.513878e+01
1.021822e+00,8.517233e+01
